role_id,title,soc_code,department,headcount,gender_pct_female,median_salary,education_mode,remote_pct
R001,Software Engineer I,15-1252,Engineering,35,0.24,95000,Bachelor,0.85
R002,Software Engineer II,15-1252,Engineering,28,0.22,115000,Bachelor,0.85
R003,Senior Software Engineer,15-1252,Engineering,22,0.20,140000,Bachelor,0.90
R004,Staff Software Engineer,15-1252,Engineering,8,0.18,165000,Master,0.90
R005,Principal Software Engineer,15-1252,Engineering,3,0.15,190000,Master,0.95
R006,Software Engineering Manager,11-9041,Engineering,6,0.22,175000,Master,0.80
R007,Director of Engineering,11-9041,Engineering,2,0.20,210000,Master,0.75
R009,Frontend Developer,15-1252,Engineering,18,0.28,105000,Bachelor,0.90
R010,Backend Developer,15-1252,Engineering,20,0.19,112000,Bachelor,0.90
R013,DevOps Engineer,15-1244,Engineering,7,0.14,125000,Bachelor,0.90
R014,Site Reliability Engineer,15-1244,Engineering,5,0.12,135000,Bachelor,0.92
R016,Data Scientist,15-2051,R&D,12,0.35,130000,Master,0.88
R017,Senior Data Scientist,15-2051,R&D,6,0.32,155000,Master,0.90
R018,Machine Learning Engineer,15-2051,Engineering,10,0.25,145000,Master,0.88
R019,Senior ML Engineer,15-2051,Engineering,4,0.22,170000,Master,0.92
R020,AI Research Scientist,15-2051,R&D,3,0.30,175000,Doctorate,0.85
R021,Data Engineer,15-1252,Engineering,9,0.20,120000,Bachelor,0.88
R023,Data Analyst,15-2051,R&D,14,0.45,78000,Bachelor,0.82
R024,Senior Data Analyst,15-2051,R&D,6,0.42,95000,Bachelor,0.85
R025,Business Intelligence Analyst,15-2051,Operations,5,0.40,88000,Bachelor,0.80
R026,QA Engineer,15-1253,Engineering,10,0.30,85000,Bachelor,0.80
R029,Security Engineer,15-1212,IT,4,0.16,135000,Bachelor,0.80
R032,IT Support Specialist,15-1232,IT,8,0.32,55000,Associate,0.40
R033,IT Systems Administrator,15-1244,IT,5,0.18,80000,Bachelor,0.65
R035,Database Administrator,15-1242,IT,4,0.20,95000,Bachelor,0.75
R038,Financial Analyst,13-2051,Finance,10,0.42,75000,Bachelor,0.70
R039,Senior Financial Analyst,13-2051,Finance,5,0.40,95000,Bachelor,0.72
R041,Accountant,13-2011,Finance,8,0.55,68000,Bachelor,0.65
R042,Senior Accountant,13-2011,Finance,4,0.52,82000,Bachelor,0.68
R044,Controller,11-3031,Finance,1,0.40,155000,Master,0.55
R046,Accounts Payable Clerk,43-3031,Finance,6,0.72,42000,Associate,0.50
R047,Accounts Receivable Clerk,43-3031,Finance,5,0.70,43000,Associate,0.50
R048,Payroll Specialist,43-3051,Finance,3,0.68,52000,Associate,0.55
R049,Tax Analyst,13-2011,Finance,3,0.45,72000,Bachelor,0.65
R051,HR Generalist,13-1071,HR,6,0.72,62000,Bachelor,0.60
R053,HR Manager,11-3121,HR,2,0.68,95000,Bachelor,0.55
R054,HR Business Partner,13-1071,HR,4,0.65,85000,Bachelor,0.60
R055,Recruiter,13-1071,HR,8,0.70,60000,Bachelor,0.75
R058,Compensation Analyst,13-1141,HR,2,0.60,75000,Bachelor,0.65
R060,Training Coordinator,13-1151,HR,3,0.66,52000,Bachelor,0.50
R064,Marketing Manager,11-2021,Marketing,3,0.52,105000,Bachelor,0.72
R066,Digital Marketing Specialist,13-1161,Marketing,6,0.55,65000,Bachelor,0.80
R067,Content Marketing Manager,11-2021,Marketing,2,0.58,88000,Bachelor,0.85
R068,SEO Specialist,13-1161,Marketing,3,0.48,62000,Bachelor,0.88
R070,Marketing Analyst,13-1161,Marketing,4,0.50,68000,Bachelor,0.78
R074,Graphic Designer,27-1024,Marketing,4,0.56,62000,Bachelor,0.82
R075,UX Designer,27-1021,Engineering,6,0.48,95000,Bachelor,0.85
R078,UI Designer,27-1021,Engineering,4,0.50,82000,Bachelor,0.85
R079,Product Designer,27-1021,Engineering,5,0.47,105000,Bachelor,0.88
R081,Product Manager,11-9041,Engineering,8,0.38,125000,Bachelor,0.80
R082,Senior Product Manager,11-9041,Engineering,4,0.36,150000,Master,0.82
R085,Technical Writer,27-3042,Engineering,5,0.52,72000,Bachelor,0.90
R086,Senior Technical Writer,27-3042,Engineering,2,0.50,88000,Bachelor,0.92
R088,Sales Representative,41-3091,Sales,20,0.38,55000,Bachelor,0.45
R089,Senior Sales Representative,41-3091,Sales,10,0.36,72000,Bachelor,0.48
R090,Account Executive,41-3091,Sales,12,0.34,85000,Bachelor,0.50
R092,Sales Manager,11-2022,Sales,3,0.30,120000,Bachelor,0.50
R095,Sales Development Representative,41-3091,Sales,15,0.42,48000,Bachelor,0.60
R097,Sales Engineer,41-9031,Sales,5,0.15,115000,Bachelor,0.65
R098,Customer Success Manager,11-2022,Sales,6,0.55,75000,Bachelor,0.72
R099,Customer Support Specialist,43-4051,Operations,12,0.58,42000,Associate,0.65
R103,Paralegal,23-2011,Legal,4,0.78,58000,Associate,0.55
R105,Corporate Counsel,23-1011,Legal,3,0.45,165000,Doctorate,0.60
R108,Legal Operations Specialist,23-2011,Legal,2,0.60,65000,Bachelor,0.58
R110,Compliance Analyst,13-1041,Legal,3,0.52,72000,Bachelor,0.62
R112,Project Manager,13-1111,Operations,7,0.42,88000,Bachelor,0.72
R113,Senior Project Manager,13-1111,Operations,4,0.40,108000,Bachelor,0.70
R116,Business Analyst,13-1111,Operations,6,0.44,75000,Bachelor,0.75
R118,Operations Manager,11-1021,Operations,2,0.35,95000,Bachelor,0.50
R122,Executive Assistant,43-6011,Executive,4,0.88,58000,Associate,0.55
R123,Administrative Assistant,43-6014,Operations,10,0.82,40000,High School,0.40
R125,Receptionist,43-4171,Operations,3,0.85,35000,High School,0.05
R126,Facilities Manager,37-1012,Operations,2,0.25,72000,Bachelor,0.10
R128,Maintenance Technician,49-9071,Operations,4,0.08,45000,High School,0.00
R130,Security Guard,33-9032,Operations,6,0.18,38000,High School,0.00
R132,Warehouse Worker,53-7065,Operations,8,0.22,36000,High School,0.00
R134,Shipping and Receiving Clerk,43-5071,Operations,4,0.30,38000,High School,0.00
R136,Procurement Specialist,13-1023,Operations,4,0.42,65000,Bachelor,0.55
R138,Supply Chain Analyst,13-1081,Operations,3,0.40,68000,Bachelor,0.60
R140,Data Entry Clerk,43-9021,Operations,8,0.65,34000,High School,0.50
R141,Document Control Specialist,43-9061,Operations,3,0.60,42000,Associate,0.45
R142,Copywriter,27-3043,Marketing,4,0.58,60000,Bachelor,0.85
R144,Public Relations Specialist,27-3031,Marketing,3,0.62,62000,Bachelor,0.70
R147,Research Scientist,19-1042,R&D,4,0.38,110000,Doctorate,0.70
R150,Lab Technician,19-4021,R&D,3,0.45,48000,Associate,0.05
R152,Solutions Architect,15-1299,Engineering,4,0.14,155000,Master,0.82
R155,Scrum Master,15-1299,Engineering,4,0.35,95000,Bachelor,0.80
R159,Systems Analyst,15-1211,IT,4,0.32,82000,Bachelor,0.72
R163,Web Developer,15-1254,Engineering,5,0.30,85000,Bachelor,0.88
R165,Embedded Systems Engineer,15-1252,Engineering,4,0.12,120000,Bachelor,0.60
R169,Information Security Analyst,15-1212,IT,3,0.20,98000,Bachelor,0.78
R172,Customer Experience Analyst,13-1161,Operations,3,0.55,62000,Bachelor,0.72
R176,Technical Recruiter,13-1071,HR,4,0.62,68000,Bachelor,0.80
R187,Proposal Writer,27-3042,Sales,2,0.55,62000,Bachelor,0.80
R188,Pricing Analyst,13-2051,Finance,2,0.42,72000,Bachelor,0.70
R190,Risk Analyst,13-2051,Finance,2,0.38,82000,Bachelor,0.65
R193,Environmental Health & Safety Specialist,19-5011,Operations,2,0.35,68000,Bachelor,0.15
R195,Change Management Specialist,13-1111,Operations,2,0.50,78000,Bachelor,0.65
R196,Process Improvement Analyst,13-1111,Operations,2,0.42,72000,Bachelor,0.68
